Provider;Resource Type;Resource Group Move;Subscription Move;Region Move;Documentation Link
Microsoft.AAD;domainservices;No;No;No;
microsoft.aadiam;diagnosticsettings;No;No;No;
microsoft.aadiam;diagnosticsettingscategories;No;No;No;
microsoft.aadiam;privatelinkforazuread;Yes;Yes;No;
microsoft.aadiam;tenants;Yes;Yes;No;
Microsoft.Addons;supportproviders;No;No;No;
Microsoft.ADHybridHealthService;aadsupportcases;No;No;No;
Microsoft.ADHybridHealthService;addsservices;No;No;No;
Microsoft.ADHybridHealthService;agents;No;No;No;
Microsoft.ADHybridHealthService;anonymousapiusers;No;No;No;
Microsoft.ADHybridHealthService;configuration;No;No;No;
Microsoft.ADHybridHealthService;logs;No;No;No;
Microsoft.ADHybridHealthService;reports;No;No;No;
Microsoft.ADHybridHealthService;servicehealthmetrics;No;No;No;
Microsoft.ADHybridHealthService;services;No;No;No;
Microsoft.Advisor;configurations;No;No;No;
Microsoft.Advisor;generaterecommendations;No;No;No;
Microsoft.Advisor;metadata;No;No;No;
Microsoft.Advisor;recommendations;No;No;No;
Microsoft.Advisor;suppressions;No;No;No;
Microsoft.AlertsManagement;alertprocessingrules;No;Yes;No;
Microsoft.AlertsManagement;alerts;No;No;No;
Microsoft.AlertsManagement;alertslist;No;No;No;
Microsoft.AlertsManagement;alertsmetadata;No;No;No;
Microsoft.AlertsManagement;alertssummary;No;No;No;
Microsoft.AlertsManagement;alertssummarylist;No;No;No;
Microsoft.AlertsManagement;smartdetectoralertrules;Yes;Yes;No;
Microsoft.AlertsManagement;smartgroups;No;No;No;
Microsoft.AnalysisServices;servers;Yes;Yes;No;https://learn.microsoft.com/en-us/azure/analysis-services/move-analysis-services
Microsoft.ApiManagement;reportfeedback;No;No;No;
Microsoft.ApiManagement;service;Yes;Yes;Yes (using template);https://learn.microsoft.com/en-us/azure/api-management/api-management-howto-disaster-recovery-backup-restore
Microsoft.App;managedenvironments;Yes;Yes;No;
Microsoft.AppConfiguration;configurationstores;Yes;Yes;No;https://learn.microsoft.com/en-us/azure/azure-app-configuration/howto-move-resources
Microsoft.AppConfiguration;configurationstores / eventgridfilters;No;No;No;
Microsoft.AppPlatform;spring;Yes;Yes;No;https://learn.microsoft.com/en-us/azure/spring-apps/how-to-move-across-regions
Microsoft.AppService;apiapps;No;No;Yes (using template);https://learn.microsoft.com/en-us/azure/app-service/manage-move-across-regions
Microsoft.AppService;appidentities;No;No;No;
Microsoft.AppService;gateways;No;No;No;
Microsoft.Attestation;attestationproviders;No;No;No;
Microsoft.Authorization;classicadministrators;No;No;No;
Microsoft.Authorization;dataaliases;No;No;No;
Microsoft.Authorization;denyassignments;No;No;No;
Microsoft.Authorization;elevateaccess;No;No;No;
Microsoft.Authorization;findorphanroleassignments;No;No;No;
Microsoft.Authorization;locks;No;No;No;
Microsoft.Authorization;permissions;No;No;No;
Microsoft.Authorization;policyassignments;No;No;No;
Microsoft.Authorization;policydefinitions;No;No;No;
Microsoft.Authorization;policysetdefinitions;No;No;No;
Microsoft.Authorization;privatelinkassociations;No;No;No;
Microsoft.Authorization;resourcemanagementprivatelinks;No;No;No;
Microsoft.Authorization;roleassignments;No;No;No;
Microsoft.Authorization;roleassignmentsusagemetrics;No;No;No;
Microsoft.Authorization;roledefinitions;No;No;No;
Microsoft.Automation;automationaccounts;Yes;Yes;No;https://learn.microsoft.com/en-us/azure/automation/move-account
Microsoft.Automation;automationaccounts / configurations;Yes;Yes;No;
Microsoft.Automation;automationaccounts / runbooks;Yes;Yes;No;
Microsoft.AVS;privateclouds;Yes;Yes;No;https://learn.microsoft.com/en-us/azure/azure-vmware/move-azure-vmware-solution-across-regions
Microsoft.AzureActiveDirectory;b2cdirectories;Yes;Yes;No;
Microsoft.AzureActiveDirectory;b2ctenants;No;No;No;
Microsoft.AzureArcData;datacontrollers;No;No;No;
Microsoft.AzureArcData;postgresinstances;No;No;No;
Microsoft.AzureArcData;sqlmanagedinstances;No;No;No;
Microsoft.AzureArcData;sqlserverinstances;No;No;No;
Microsoft.AzureArcData;sqlserverlicenses;No;No;No;
Microsoft.AzureData;datacontrollers;No;No;No;
Microsoft.AzureData;hybriddatamanagers;No;No;No;
Microsoft.AzureData;postgresinstances;No;No;No;
Microsoft.AzureData;sqlinstances;No;No;No;
Microsoft.AzureData;sqlmanagedinstances;No;No;No;
Microsoft.AzureData;sqlserverinstances;No;No;No;
Microsoft.AzureData;sqlserverregistrations;Yes;Yes;No;
Microsoft.AzureStack;cloudmanifestfiles;No;No;No;
Microsoft.AzureStack;registrations;Yes;Yes;No;
Microsoft.AzureStackHCI;clusters;No;No;No;
Microsoft.Batch;batchaccounts;Yes;Yes;No (use template);
Microsoft.Billing;billingaccounts;No;No;No;
Microsoft.Billing;billingperiods;No;No;No;
Microsoft.Billing;billingpermissions;No;No;No;
Microsoft.Billing;billingproperty;No;No;No;
Microsoft.Billing;billingroleassignments;No;No;No;
Microsoft.Billing;billingroledefinitions;No;No;No;
Microsoft.Billing;departments;No;No;No;
Microsoft.Billing;enrollmentaccounts;No;No;No;
Microsoft.Billing;invoices;No;No;No;
Microsoft.Billing;transfers;No;No;No;
Microsoft.BingMaps;mapapis;No;No;No;
Microsoft.BizTalkServices;biztalk;No;No;No;
Microsoft.Blockchain;blockchainmembers;No;No;No;
Microsoft.Blockchain;cordamembers;No;No;No;
Microsoft.Blockchain;watchers;No;No;No;
Microsoft.BlockchainTokens;tokenservices;No;No;No;
Microsoft.Blueprint;blueprintassignments;No;No;No;
Microsoft.Blueprint;blueprints;No;No;No;
Microsoft.BotService;botservices;Yes;Yes;No;
Microsoft.Cache;redis;Yes;Yes;No;https://learn.microsoft.com/en-us/azure/azure-cache-for-redis/cache-how-to-geo-replication
Microsoft.Cache;redisenterprise;No;No;No;
Microsoft.Capacity;appliedreservations;No;No;No;
Microsoft.Capacity;calculateexchange;No;No;No;
Microsoft.Capacity;calculateprice;No;No;No;
Microsoft.Capacity;calculatepurchaseprice;No;No;No;
Microsoft.Capacity;catalogs;No;No;No;
Microsoft.Capacity;commercialreservationorders;No;No;No;
Microsoft.Capacity;exchange;No;No;No;
Microsoft.Capacity;reservationorders;No;No;No;
Microsoft.Capacity;reservations;No;No;No;
Microsoft.Capacity;resources;No;No;No;
Microsoft.Capacity;validatereservationorder;No;No;No;
Microsoft.Cdn;cdnwebapplicationfirewallmanagedrulesets;No;No;No;
Microsoft.Cdn;cdnwebapplicationfirewallpolicies;Yes;Yes;No;
Microsoft.Cdn;edgenodes;No;No;No;
Microsoft.Cdn;profiles;Yes;Yes;No;
Microsoft.Cdn;profiles / endpoints;Yes;Yes;No;
Microsoft.CertificateRegistration;certificateorders;Yes;Yes;No;
Microsoft.ClassicCompute;capabilities;No;No;No;
Microsoft.ClassicCompute;domainnames;Yes;No;No;
Microsoft.ClassicCompute;quotas;No;No;No;
Microsoft.ClassicCompute;resourcetypes;No;No;No;
Microsoft.ClassicCompute;validatesubscriptionmoveavailability;No;No;No;
Microsoft.ClassicCompute;virtualmachines;Yes;Yes;No;https://learn.microsoft.com/en-us/azure/virtual-machines/migration-classic-resource-manager-overview
Microsoft.ClassicInfrastructureMigrate;classicinfrastructureresources;No;No;No;
Microsoft.ClassicNetwork;capabilities;No;No;No;
Microsoft.ClassicNetwork;expressroutecrossconnections;No;No;No;
Microsoft.ClassicNetwork;expressroutecrossconnections / peerings;No;No;No;
Microsoft.ClassicNetwork;gatewaysupporteddevices;No;No;No;
Microsoft.ClassicNetwork;networksecuritygroups;No;No;No;
Microsoft.ClassicNetwork;quotas;No;No;No;
Microsoft.ClassicNetwork;reservedips;No;No;No;
Microsoft.ClassicNetwork;virtualnetworks;No;No;No;
Microsoft.ClassicStorage;disks;No;No;No;
Microsoft.ClassicStorage;images;No;No;No;
Microsoft.ClassicStorage;osimages;No;No;No;
Microsoft.ClassicStorage;osplatformimages;No;No;No;
Microsoft.ClassicStorage;publicimages;No;No;No;
Microsoft.ClassicStorage;quotas;No;No;No;
Microsoft.ClassicStorage;storageaccounts;Yes;No;Yes;https://learn.microsoft.com/en-us/azure/storage/common/storage-account-move?tabs=azure-portal
Microsoft.ClassicStorage;vmimages;No;No;No;
Microsoft.ClassicSubscription;operations;No;No;No;
Microsoft.CognitiveServices;accounts;Yes;Yes;No;
Microsoft.CognitiveServices;Cognitive Search;Yes;Yes;Yes (Manual steps);https://learn.microsoft.com/en-us/azure/search/search-howto-move-across-regions
Microsoft.Commerce;ratecard;No;No;No;
Microsoft.Commerce;usageaggregates;No;No;No;
Microsoft.Communication;communicationservices;Yes;Yes;No;
Microsoft.Compute;availabilitysets;Yes;Yes;Yes (Use Azure Resource Mover);https://learn.microsoft.com/en-us/azure/resource-mover/tutorial-move-region-virtual-machines
Microsoft.Compute;diskaccesses;No;No;No;
Microsoft.Compute;diskencryptionsets;No;No;No;
Microsoft.Compute;disks;Yes;Yes;Yes (Use Azure Resource Mover);https://learn.microsoft.com/en-us/azure/resource-mover/tutorial-move-region-virtual-machines
Microsoft.Compute;galleries;No;No;No;
Microsoft.Compute;galleries / images;No;No;No;
Microsoft.Compute;galleries / images / versions;No;No;No;
Microsoft.Compute;hostgroups;No;No;No;
Microsoft.Compute;hostgroups / hosts;No;No;No;
